item_id,item_name
1,Centro Cultural & De Exposições Ruth Cardoso
2,Maceió Shopping
3,Terraço Restaurante e Cervejaria
4,Dona Madalena Restaurante
5,Teatro Gustavo Leite
6,Estádio Rei Pelé
7,Sonho Verde
8,Praia de Pratagi
9,Palato
10,Praça Dos Martírios
11,El Lugar Resto Pub
12,Praia do Carro Quebrado
13,Alagoana Bar e Botequim
14,Praia Riacho Doce
15,Praia de Guaxuma
16,Jacarecica
17,Pizzaria Piratas Do Picui
18,Dona Moça
19,Praia do Gunga
20,Instituto Historico e Geografico
21,Parque Shopping Maceió
22,Praia do Pontal da Barra
23,Igreja de Nossa Senhora do Rosário dos Pretos
24,Ottimo Cucina Espressa
25,Praia da Sereia
26,Stella Maris Grill
27,Lagoa Manguaba
28,Teatro Deodoro
29,Lagoa Mundaú
30,Choparia Maikai
31,Memorial Teotônio Vilela
32,Akuaba
33,Mercado do Artesanato
34,Praia de Ponta Verde
35,Museu de Arte Sacra Pierre Chalita
36,Ser-Afim Restaurante Natural
37,Lopana
38,Piscinas Naturais de Pajucara
39,Kanoa Beach Bar
40,Museu da Historia Natural de UFAL
41,Praia do Francês
42,Pavilhao Do Artesanato
43,Casa Nordeste
44,Garça Torta
45,Praia de São Miguel dos Milagres
46,Ecopark Aquático
47,Museu Palácio Floriano Peixoto
48,Lagoa do Roteiro
49,Churrascaria do Bigode
50,Hibiscus Beach Club
51,Praia Cruz das Almas (Lagoa da Anta)
52,Praia de Tabuba
53,New Hakata
54,Catedral Metropolitana de Maceió
55,Memorial da Justiça do Trabalho em Alagoas Pontes de Miranda
56,Restaurante Takê
57,Shopping Pátio Maceió
58,Pereira Café
59,Restaurante Parmegianno
60,Museu da Segunda Guerra Mundial
61,Sabatelli Pizza & Arte
62,Massagueirinha
63,Outback Steakhouse - Parque Shopping Maceió
64,Santo Burger n Beer
65,Museu do Esporte Lauthenay Perdigão
66,SESC Centro
67,Feira de Artesanato da Pajuçara
68,Praia da Avenida
69,Casa da Picanha
70,Parque municipal de Maceió
71,Restaurante Wanchako
72,Santorégano
73,Igreja de Nossa Senhora do Livramento
74,Divina Gula
75,Museu Théo Brandão de Antropologia e Folclore
76,Museu do Comércio de Alagoas
77,Massarela
78,Maria Antonieta
79,Sobral
80,Museu da Tecnologia do Século XX
81,Praia Mirante da Sereia
82,Churrascaria Sal e Brasa Maceió
83,Restaurante Anamá 
84,Carlito
85,Armazem Guimarães
86,Imperador dos Camarões
87,Praia de Pajuçara
88,Costa Brava
89,Praia de Jatiúca
90,Memorial da República
91,Núcleo de Artesanato do Pontal da Barra
92,Praia de Ipioca
